name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
British Grove Studios ,20 British Grove,Chiswick,,Hounslow,https://www.britishgrovestudios.com/,1.00E+11,E09000018,Chiswick Homefields,E05013610,51.490663,-0.24579503,521883.4137,178315.8718
Church of Sound and Vision Studios,"Suite 3, 46-52 Church Road",Barnes,,Richmond upon Thames,https://www.churchofsoundandvision.com/,10094587956,E09000027,Barnes,E05013774,51.474418,-0.24130639,522238.3965,176516.8731
Peckham Studios ,161 Sumner Rd,,,Southwark,https://www.peckhamstudios.com/,2.00E+11,E09000028,Peckham,E05011110,51.477967,-0.073399708,533888.2194,177204.9136
Temple Music Studio,48 The Ridgway,,,Sutton,https://templemusicstudio.com/,5870045447,E09000029,Sutton South,E05013767,51.354418,-0.18098938,526758.2541,163275.0991
Brixton Hill Studios,"Unit 1, 126 Brixton Hill",,,Lambeth,https://brixtonhillstudios.com/,2.00E+11,E09000022,Brixton Acre Lane,E05014095,51.453056,-0.12096731,530656.2168,174348.938
Sensible Music Group,90-96 Brewery Road,,,Islington,https://www.sensible-music.co.uk/rehearsals,5300011689,E09000019,Caledonian,E05013700,51.544259,-0.12440899,530157.2117,184484.67
Creation Studios,Kentish Town Road and Royal College Street,London,,Camden,https://www.creationmusicstudios.com/,5110315,E09000007,Camden Town,E05013655,51.544672,-0.141309,528984.2265,184500.6937
Octagon London Studios ,130 Brixton Hill ,,,Lambeth,https://www.octagonlondon.com/,1.00E+11,E09000022,Brixton Acre Lane,E05014095,51.452892,-0.12139144,530627.2169,174329.9451
Islington Arts Factory,2 Parkhurst Road,Islington,,Islington,www.islingtonartsfactory.org,5300071066,E09000019,Holloway,E05013706,51.553804,-0.12296338,530230.1997,185548.6574
Total Refreshment Studios,2 Foulden Road,,,Hackney,http://totalrefreshment.net/,10008274727,E09000012,Stoke Newington,E05009385,51.55579,-0.07398,533620.1107,185857.8955
Ten87 Studios,39a Markfield Rd,,,Haringey,https://ten87.studio/,10022939575,E09000014,South Tottenham,E05013599,51.583122,-0.064985583,534163.2636,188913.7467
Kluster Rooms ,566 Cable Street,,,Tower Hamlets,https://www.klusterrooms.com,6025305,E09000030,Shadwell,E05009332,51.511333,-0.04321237,535885.1508,180970.8261
Mainyard Studios,9 & 17 Lyon Road,Wimbledon,,Merton,https://mainyardstudios.co.uk/private-offices-music-studios-wimbledon/,48046261,E09000024,Abbey,E05013810,51.412121,-0.18662351,526207.2766,169682.0131
Mainyard Studios, 5 Argall Avenue,,,Waltham Forest,https://mainyardstudios.co.uk,10024421362,E09000031,Lea Bridge,E05013895,51.5704,-0.03843,536040.8608,187548.0566
New River Studios,199 Eade Road,,,Haringey,http://www.newriverstudios.com/,10003975439,E09000014,Hermitage & Gardens,E05013591,51.57489,-0.08798,532594.1334,187956.3626
Bamm-Bamm Music Studio B,174A Perry Vale,,,Lewisham,https://www.bamm-bamm.uk,1.00E+11,E09000023,Perry Vale,E05013729,51.435042,-0.043927757,536062.2081,172486.0025
Unwound Music Studios ,Unit 9 Brookmarsh Trading Estate,Norman Road,Deptford,Greenwich,https://www.unwoundstudios.co.uk/,1.00E+11,E09000011,Greenwich Creekside,E05014080,51.478942,-0.018100452,537725.194,177415.8836
Pirate Studios - Dalston ,42-56 Tottenham Road,,,Hackney,https://pirate.com/en/locations/london-dalston/,1.00E+11,E09000012,De Beauvoir,E05009371,51.545472,-0.078193369,533358.1575,184702.8162
Pirate Studios - Wembley ,278 Abbeydale Road,,,Brent,https://pirate.com/en/locations/london-wembley/,202137355,E09000005,Alperton,E05013496,51.538754,-0.28468273,519058.4006,183599.8174
Pirate Studios - Hackney ,13 Rothbury Road,,,Tower Hamlets,https://pirate.com/en/locations/london-hackney/,6722125,E09000030,Bow East,E05009319,51.54218,-0.026689225,536939.0958,184431.8234
Pirate Studios - Tottenham,2 Norman Rd,,,Haringey,https://pirate.com/en/locations/london-tottenham/,1.00E+11,E09000014,South Tottenham,E05013599,51.58254,-0.068431179,533926.2625,188842.7088
Tape London ,17 Hanover Square,Mayfair ,,Westminster,https://tapelondon.com/,1.00E+11,E09000033,West End,E05013808,51.514287,-0.14475121,528831.2661,181115.7841
Arcus Sounds,"Unit 7, The Arches",Cranberry Lane,,Newham,https://www.arcussounds.com/writing-rehearsal,10023994441,E09000025,Canning Town North,E05013906,51.522905,0.004796566,539181.0931,182347.7708
Hazey Studios,230a Dalston Lane,Unit 10 ,,Hackney,https://www.hazeystudios.com/,1.00E+11,E09000012,Hackney Central,E05009372,51.548564,-0.061202166,534527.1566,185077.7812
Hazey Studios,Oxgate Lane,,,Brent,https://www.hazeystudios.com/,See notes ,E09000005,Dollis Hill,E05013500,51.56691,-0.23233,522613.2047,186817.1989
ENTT Studios,212 Ilderton Road,South Bermondsey,,Southwark,https://enttstudios.co.uk/,2.00E+11,E09000028,Old Kent Road,E05011109,51.482326,-0.054204792,535208.2137,177724.8989
Bamm-Bamm Studios ,174A Perry Vale,Forest Hill,London,Lewisham,https://www.bamm-bamm.uk/,1.00E+11,E09000023,Perry Vale,E05013729,51.43506,-0.043912612,536063.2073,172488.0322
The Qube,168 Dukes Road,,,Ealing,http://theqube.wpengine.com/book-a-studio/,12096519,E09000009,North Acton,E05013527,51.523942,-0.2821401,519273.4198,181956.7981
Konnect Studios,"Unit 29, Excelsior Studios",17 - 19 Sunbeam Rd,,Ealing,https://www.instagram.com/konnectstudios/?hl=en,12203091,E09000009,North Acton,E05013527,51.525737,-0.26354833,520558.3969,182186.8371
Kabin Studios ,42 Gorst Rd,,,Ealing,https://kabinstudios.co.uk/,12130599,E09000009,North Acton,E05013527,51.526773,-0.26493608,520459.3993,182299.7611
Respect the Studio,"Unit 10, Wendover Court",,,Ealing,https://respectthestudio.com/,12202186,E09000009,North Acton,E05013527,51.525898,-0.27201869,519970.4063,182190.8369
The Soundhouse Ltd,"Unit 10, Victoria Industrial Estate",Victoria Road,Acton,Ealing,https://www.thesoundhousestudios.co.uk/visual-media/,12153488,E09000009,North Acton,E05013527,51.521948,-0.25665814,521046.3938,181776.8486
Wayve Studios,Nash House,Old Oak Lane,,Ealing,https://www.wayvestudios.com/,See notes,E09000009,North Acton,E05013527,51.52882,-0.25031,521468.4968,182551.5387
Jukebox Studios ,Unit 24 Pall Mall Deposit,124-128 Barlby Road,,Kensington and Chelsea,https://www.jukeboxstudios.co.uk/,217101238,E09000020,Dalgarno,E05009394,51.523042,-0.21879149,523670.3343,181961.7386
Red Cable Studio," Unit 134, 566 Cable St",,,Tower Hamlets,https://www.instagram.com/redcablestudio/,6183518,E09000030,Shadwell,E05009332,51.511324,-0.043227157,535884.1516,180969.7978
Cotch Studios ,Newton House,60-62 Verney Rd,,Southwark,https://cotchstudios.co.uk/,10009800903,E09000028,Old Kent Road,E05011109,51.485549,-0.058806295,534879.2146,178074.8078
The Bookhouse,Unit 1,62 Hatcham Rd,,Southwark,http://www.thebookhousestudio.com/,2.00E+11,E09000028,Old Kent Road,E05011109,51.484129,-0.054516892,535181.214,177924.8147
Visionary Studios ,Unit F11a Birch House,Birch Walk,Erith,Bexley,https://visionarystudios.co.uk/,1.00E+11,E09000004,Erith,E05011225,51.480791,0.16614078,550512.1103,177983.908
Profonic Studios,12 Cody Lane,Stratford,,Newham,https://profonicstudios.com/,10008989066,E09000025,Canning Town North,E05013906,51.521321,0.002233231,539008.0921,182166.7578
Mainyard Studios - Mile End,35 Bow Road,Bromley by Bow,,Tower Hamlets,https://mainyardstudios.co.uk/tower-hamlets-private-offices-coworking/,No UPRN,E09000030,Bow West,E05009320,51.52687,-0.02777,536910.0591,182727.312
The Cowshed Recording Studio,125 Myddleton Road,Harringey,,Haringey,http://cowshedstudio.com/,,E09000014,,,51.60629404,-0.119005817,,
NXNE Studios,105 Eade Road,Harringay Warehouse District,,Haringey,https://www.nxnestudios.com/,,E09000014,Seven Sisters,E05013598,51.57527955,-0.090193831,,
The Crypt Studio,145A Crouch Hill,Crouch End,,Haringey,https://www.thecryptstudio.com/,,E09000014,Crouch End,E05013588,51.57788306,-0.123654831,,
Whitelight Production,"Studio One, Unit 2/2a",7 Cross Lane,,Haringey,https://www.whitelightproduction.com/,,E09000014,Hornsey,E05013593,51.58937472,-0.116322007,,
The RecordShop,Unit 17a,Wood Green Shopping City,London,Haringey,https://therecshop.co.uk/,,E09000014,Noel Park,E05013595,51.61386377,-0.106742214,,
